端口id,端口带宽
0,90000
1,70000
2,110000
3,140000
4,140000
5,70000
6,90000
7,120000
8,50000
9,120000
10,130000
11,80000
12,70000
13,80000
14,140000
15,100000
16,130000
17,60000
18,90000
19,130000
20,110000
21,140000
22,140000
23,120000
24,150000
25,60000
26,140000
27,130000
28,120000
29,90000
30,140000
31,80000
32,140000
33,130000
34,100000
35,90000
36,150000
37,120000
38,50000
39,140000
40,150000
41,150000
42,100000
43,140000
44,120000
45,80000
46,90000
47,120000
48,150000
49,80000
50,110000
51,110000
52,50000
53,80000
54,120000
55,120000
56,50000
57,50000
