流id,端口id,开始发送时间
0,4,45
1,2,3
2,5,3
3,2,48
4,4,46
5,7,6
6,1,36
7,3,48
8,1,19
9,7,34
10,0,41
11,3,41
12,6,1
13,0,46
14,1,7
15,0,41
16,0,26
17,3,23
18,0,34
19,0,12
20,0,45
21,6,18
22,0,37
23,0,0
24,2,41
25,4,8
26,2,9
27,6,3
28,2,30
29,1,21
30,5,35
31,0,12
32,0,38
33,6,38
34,3,8
35,0,13
36,7,12
37,4,24
38,6,30
39,0,32
40,7,27
41,3,27
42,4,32
43,0,8
44,2,14
45,4,10
46,6,45
47,1,6
48,6,20
49,5,23
50,0,33
51,1,6
52,4,35
53,5,47
54,0,45
55,3,1
56,1,25
57,3,44
58,2,29
59,2,18
60,4,0
61,6,3
62,0,4
63,4,10
64,7,30
65,0,14
66,2,1
67,2,43
68,0,16
69,1,23
70,4,17
71,0,31
72,6,20
73,6,21
74,1,34
75,3,2
76,2,45
77,1,5
78,0,18
79,4,9
80,6,12
81,7,44
82,6,21
83,5,1
84,1,18
85,2,7
86,3,40
87,0,41
88,0,46
89,1,26
90,1,11
91,2,7
92,0,41
93,5,10
94,6,32
95,6,11
96,7,38
97,1,23
98,4,39
99,7,29
100,4,31
101,2,11
102,6,38
103,6,49
104,0,49
105,0,35
106,1,40
107,6,30
108,2,29
109,4,8
110,4,45
111,3,0
112,6,0
113,0,7
114,6,23
115,0,31
116,7,47
117,7,7
118,7,44
119,7,42
120,1,10
121,6,7
122,0,26
123,0,22
124,0,48
125,0,3
126,2,37
127,6,13
128,6,27
129,0,26
130,6,32
131,0,47
132,0,34
133,6,28
134,6,2
135,2,43
136,2,22
137,1,38
138,4,44
139,1,24
140,0,45
141,1,20
142,4,30
143,6,9
144,1,-2
145,0,22
146,4,1
147,4,48
148,4,49
149,4,30
150,6,3
151,4,2
152,4,40
153,4,15
154,4,31
155,4,47
156,4,45
157,4,1
158,0,28
159,4,6
160,0,37
161,6,10
162,6,45
163,0,40
164,7,4
165,7,25
166,4,31
167,0,27
168,0,42
169,1,45
170,1,25
171,5,31
172,5,28
173,1,15
174,0,11
175,0,19
176,1,19
177,1,36
178,0,4
179,0,36
180,6,7
181,7,31
182,3,49
183,1,45
184,6,32
185,5,43
186,6,19
187,3,27
188,6,39
189,6,43
190,6,17
191,0,37
192,1,16
193,1,33
194,1,44
195,0,33
196,2,31
197,5,30
198,6,6
199,0,3
200,3,8
201,3,14
202,5,38
203,0,44
204,4,14
205,3,18
206,6,39
207,5,22
208,5,22
209,3,31
210,0,32
211,4,22
212,2,33
213,0,14
214,0,5
215,1,35
216,0,16
217,7,10
218,0,0
219,0,39
220,3,35
221,1,28
222,1,44
223,2,49
224,2,35
225,3,37
226,2,3
227,4,7
228,2,22
229,7,32
230,2,1
231,0,38
232,2,31
233,1,17
234,1,5
235,0,19
236,0,5
237,0,43
238,5,36
239,2,13
240,4,37
241,0,25
242,4,36
243,6,4
244,5,37
245,4,38
246,2,26
247,2,12
248,0,36
249,2,48
250,6,46
251,0,30
252,7,37
253,0,37
254,4,38
255,2,35
256,1,34
257,0,26
258,1,25
259,0,34
260,2,37
261,0,32
262,1,2
263,1,5
264,0,5
265,0,25
266,5,39
267,0,30
268,7,31
269,2,46
270,0,5
271,4,13
272,2,46
273,4,4
274,2,42
275,3,15
276,1,5
277,2,32
278,2,46
279,1,10
280,0,15
281,7,38
282,0,7
283,0,41
284,1,40
285,7,23
286,1,44
287,1,-1
288,2,26
289,0,46
290,2,4
291,0,29
292,1,31
293,0,44
294,0,19
295,1,15
296,6,43
297,7,48
298,6,19
299,1,40
300,1,44
301,0,3
302,0,21
303,2,3
304,1,1
305,3,22
306,1,44
307,4,40
308,4,44
309,5,17
310,4,36
311,3,27
312,7,24
313,2,35
314,1,15
315,2,18
316,0,25
317,0,9
318,5,11
319,7,47
320,1,29
321,7,17
322,3,2
323,6,29
324,5,32
325,1,26
326,1,43
327,1,45
328,1,27
329,0,15
330,0,5
331,2,33
332,0,1
333,1,19
334,4,28
335,1,20
336,6,14
337,3,11
338,7,32
339,1,1
340,5,2
341,3,10
342,2,10
343,0,4
344,0,5
345,2,18
346,4,7
347,6,28
348,4,30
349,4,27
350,4,13
351,2,43
352,0,21
353,4,10
354,2,4
355,4,29
356,6,34
357,6,20
358,0,17
359,1,43
360,1,18
361,4,27
362,2,5
363,1,42
364,2,6
365,6,45
366,0,47
367,0,45
368,4,17
369,2,3
370,0,22
371,2,18
372,0,26
373,1,18
374,4,39
375,0,48
376,4,34
377,2,31
378,6,26
379,3,10
380,0,8
381,1,34
382,4,43
383,3,42
384,1,22
385,5,46
386,0,12
387,1,15
388,0,29
389,3,27
390,0,4
391,6,30
392,4,8
393,0,41
394,4,8
395,4,20
396,4,11
397,6,47
398,5,38
399,6,28
400,1,32
401,4,14
402,7,38
403,6,22
404,5,18
405,6,14
406,0,25
407,6,8
408,0,3
409,1,44
410,6,8
411,7,2
412,0,24
413,4,16
414,0,42
415,0,32
416,0,40
417,4,30
418,3,39
419,3,12
420,3,48
421,3,38
422,0,30
423,0,12
424,0,12
425,4,15
426,4,23
427,0,3
428,4,13
429,4,32
430,4,49
431,4,44
432,4,47
433,4,7
434,4,25
435,0,43
436,1,24
437,0,9
438,4,0
439,4,7
440,3,13
441,0,23
442,3,46
443,3,41
444,2,18
445,2,36
446,2,28
447,2,47
448,2,40
449,2,5
450,2,34
451,4,37
452,0,44
453,4,10
454,0,26
455,1,9
456,6,7
457,0,46
458,2,9
459,2,22
460,5,36
461,0,10
462,4,34
463,2,19
464,0,11
465,1,1
466,1,37
467,1,7
468,6,35
469,5,19
470,2,28
471,2,35
472,2,28
473,2,14
474,7,41
475,0,15
476,6,15
477,6,28
478,4,43
479,1,9
480,2,45
481,2,15
482,1,41
483,4,6
484,6,41
485,1,45
486,4,7
487,1,19
488,4,13
489,0,45
490,4,33
491,1,6
492,1,14
493,1,46
494,4,47
495,4,2
496,3,3
497,0,22
498,2,16
499,0,49
500,4,1
501,6,38
502,0,20
503,0,31
504,0,6
505,6,5
506,0,16
507,5,19
508,2,16
509,4,7
510,1,45
511,1,24
512,5,37
513,2,4
514,3,6
515,6,47
516,5,13
517,0,31
518,0,4
519,0,26
520,1,12
521,6,44
522,0,26
523,7,14
524,0,2
525,0,32
526,1,39
527,2,48
528,7,16
529,6,7
530,0,19
531,0,26
532,3,44
533,6,39
534,1,28
535,4,38
536,5,23
537,6,26
538,6,21
539,2,42
540,4,41
541,3,17
542,0,11
543,0,23
544,2,49
545,4,20
546,6,37
547,1,36
548,4,23
549,4,15
550,4,46
551,4,22
552,2,21
553,6,18
554,5,19
555,1,32
556,0,9
557,0,39
558,1,26
559,4,12
560,0,38
561,0,46
562,6,43
563,2,38
564,0,47
565,1,37
566,1,26
567,1,20
568,3,39
569,2,42
