流id,流带宽,进入设备时间,发送流所需时间
0,7480,1,303
1,9945,69,338
2,8330,94,694
3,6584,10,607
4,1582,38,465
5,9586,38,135
6,9555,91,35
7,2081,0,847
8,5257,4,132
9,8349,50,644
10,6827,92,543
11,3174,53,674
12,8055,69,828
13,4393,14,737
14,7032,66,75
15,4931,79,231
16,6141,15,437
17,1137,43,942
18,6074,51,565
19,6847,47,761
20,6239,45,862
21,9508,81,549
22,7073,27,99
23,5953,31,774
24,3502,55,986
25,6789,37,1
26,9558,37,159
27,8628,38,936
28,2410,39,737
29,6648,79,169
30,5696,65,218
31,8769,82,739
32,4945,39,719
33,9526,14,359
34,9865,56,147
35,7195,100,24
36,9039,28,508
37,1578,3,285
38,6192,2,770
39,5872,93,264
40,4103,85,164
41,3508,94,362
42,4712,38,328
43,4030,20,565
44,8017,35,432
45,4245,37,40
46,9513,37,370
47,5259,66,469
48,7292,9,572
49,3515,47,609
50,9222,72,950
51,2193,17,935
52,4742,76,762
53,1239,79,794
54,1591,55,517
55,7368,65,818
56,6337,0,760
57,5500,96,888
58,4215,41,754
59,4598,14,107
60,5305,46,102
61,5274,75,754
62,6609,12,834
63,3204,11,208
64,5812,11,971
65,2924,69,575
66,8143,28,341
67,9442,99,890
68,7465,68,8
69,2381,58,928
70,4748,5,564
71,5165,20,663
72,6589,87,605
73,7409,84,64
74,1499,34,867
75,6279,33,647
76,3330,7,843
77,7043,78,874
78,3791,4,233
79,5127,77,774
80,2040,70,346
81,5898,3,755
82,6244,88,911
83,8034,25,732
84,5521,34,412
85,1417,46,458
86,3846,31,413
87,4466,55,897
88,9712,7,242
89,1726,84,516
90,2258,9,123
91,9573,70,859
92,4746,74,94
93,8362,8,180
94,9522,92,807
95,8024,30,772
96,8785,66,25
97,9505,15,321
98,8733,48,683
99,7372,64,503
100,7388,7,974
101,1012,60,130
102,8606,82,129
103,1169,71,619
104,7635,8,222
105,2165,31,71
106,6731,87,977
107,2282,6,227
108,3106,8,6
109,6370,51,881
110,6057,82,922
111,6649,4,947
112,1027,37,830
113,1485,9,332
114,2471,29,711
115,2923,66,199
116,2314,37,892
117,3234,15,723
118,6257,5,629
119,1766,86,376
120,4099,46,849
121,9562,20,972
122,6302,49,19
123,4570,38,328
124,3671,89,113
125,9518,78,285
126,2580,5,137
127,3269,62,407
128,6903,77,985
129,5303,79,95
130,1954,26,524
131,9043,0,126
132,3056,55,165
133,3142,29,32
134,8910,1,201
135,7484,27,60
136,5497,89,312
137,1087,73,935
138,3169,83,112
139,3479,48,734
140,5945,97,8
141,4162,4,475
142,6640,43,180
143,3791,78,675
144,8532,72,857
145,2444,33,148
146,3445,82,256
147,8957,96,584
148,4647,73,569
149,1770,81,158
150,3765,15,28
151,9718,10,281
152,7074,63,828
153,1608,7,970
154,6251,59,601
155,4453,11,616
156,2110,17,241
157,6776,26,830
158,5990,88,80
159,7675,43,978
160,6688,10,20
161,5158,58,87
162,8575,27,322
163,5589,58,760
164,7741,53,486
165,5491,8,557
166,6941,88,4
167,1174,39,34
168,1071,86,538
169,8063,93,832
170,6556,10,906
171,1854,80,410
172,2471,67,458
173,1012,82,617
174,1628,55,78
175,1522,96,999
176,4475,90,930
177,5752,0,11
178,6622,16,89
179,1774,29,408
180,5074,75,187
181,9458,2,570
182,1453,20,266
183,5464,78,683
184,5390,88,723
185,2200,89,148
186,5155,42,436
187,8557,29,797
188,1817,47,307
189,3984,50,279
190,2561,35,989
191,1601,78,701
192,3227,12,362
193,1108,18,650
194,2043,12,476
195,7922,3,675
196,5507,85,360
197,9203,33,936
198,5811,4,859
199,1926,83,710
200,2965,53,397
201,7413,11,633
202,9781,54,94
203,5934,59,998
204,8100,94,876
205,3327,1,115
206,8780,74,410
207,2434,81,78
208,4184,26,314
209,4279,7,584
210,8979,58,162
211,8862,71,390
212,3633,91,547
213,4617,78,617
214,3695,96,486
215,4845,47,310
216,3205,85,216
217,6411,82,147
218,3043,37,502
219,4372,35,751
220,2335,63,826
221,9412,51,944
222,1396,64,398
223,9177,20,446
224,8320,11,610
225,6699,30,832
226,3559,85,490
227,1036,50,345
228,8443,18,356
229,9007,85,480
230,2159,69,804
231,1198,58,607
232,5123,70,449
233,8194,96,676
234,2020,39,587
235,7329,13,674
236,3272,34,301
237,7171,35,784
238,6617,1,527
239,2815,93,960
240,1859,98,641
241,5244,64,533
242,5172,2,603
243,2951,42,290
244,6462,29,825
245,4151,18,961
246,1235,82,394
247,6557,58,11
248,4784,1,817
249,9584,58,694
250,2702,41,110
251,8856,62,20
252,9999,82,291
253,1150,9,448
254,9504,65,173
255,1385,22,903
256,6871,69,197
257,2979,87,609
258,1770,43,812
259,1234,56,514
260,2659,87,330
261,1518,71,279
262,2066,29,905
263,3532,89,901
264,6666,5,389
265,1733,38,919
266,6128,88,939
267,8421,50,655
268,2915,91,149
269,7961,42,290
270,5026,35,37
271,4185,3,509
272,8412,14,142
273,2756,37,912
274,8072,83,876
275,5383,40,68
276,6648,98,716
277,5621,50,651
278,7883,64,949
279,4831,90,753
280,7335,18,566
281,2263,76,519
282,2058,75,51
283,6586,70,190
284,5867,93,649
285,4173,12,728
286,3653,50,432
287,5906,91,415
288,3728,86,618
289,7962,42,884
290,1005,87,994
291,5363,84,893
292,5524,90,281
293,6472,0,963
294,2604,96,16
295,6473,94,585
296,9352,97,442
297,9863,34,19
298,3410,79,109
299,6907,47,892
300,4286,70,893
301,3000,65,303
302,9264,29,340
303,3151,82,14
304,2091,54,881
305,5273,21,706
306,9536,89,389
307,3280,93,493
308,4071,64,597
309,9170,43,207
310,3276,7,367
311,1220,19,89
312,4939,55,176
313,5496,35,740
314,7559,73,223
315,5146,42,580
316,4090,71,290
317,9346,9,961
318,3514,51,89
319,4884,83,678
320,7076,86,738
321,3938,62,723
322,5112,41,532
323,3048,100,234
324,8431,16,729
325,1190,66,12
326,1980,57,251
327,1957,5,538
328,5351,75,967
329,4615,2,95
330,5617,58,697
331,1563,72,74
332,3127,90,381
333,4408,35,344
334,3346,62,324
335,1555,47,346
336,2321,43,219
337,8146,56,594
338,2331,80,190
339,9304,3,228
340,2171,66,828
341,4598,64,229
342,7424,80,193
343,5045,30,457
344,9082,54,886
345,1372,6,175
346,2798,9,161
347,9968,32,15
348,2540,83,590
349,1116,28,473
350,1055,58,310
351,1854,9,509
352,9041,29,716
353,6930,82,420
354,9850,12,258
355,2993,72,489
356,9562,73,339
357,6647,3,684
358,3466,17,512
359,2615,20,528
360,7469,7,621
361,6525,66,429
362,6022,58,711
363,7708,52,623
364,5208,86,748
365,1729,21,941
366,5193,25,669
367,3931,15,266
368,4164,76,652
