流id,端口id,开始发送时间
141,0,0
143,0,27
237,0,41
345,0,7
379,0,32
391,0,40
419,0,20
497,0,38
518,0,28
526,0,46
630,0,8
800,0,44
915,0,19
934,0,15
946,0,49
1041,0,10
1058,0,26
1140,1,32
1143,1,28
1264,1,9
1270,0,17
1294,1,2
1393,1,19
1534,1,34
1611,1,14
1641,1,50
1736,1,39
1752,1,23
1912,1,27
1933,1,40
1945,1,46
1949,2,17
1985,2,42
1998,2,8
2140,2,9
2268,2,28
2272,1,30
2282,2,48
2345,2,3
2437,2,12
2445,2,29
2496,2,40
2538,2,1
2581,2,21
2620,2,39
2637,2,5
2642,2,35
2726,2,3
2735,2,25
2761,2,28
2764,3,48
2770,3,27
2802,3,48
2849,3,2
2893,3,35
2897,3,11
2924,3,11
3047,3,10
3066,4,33
3083,3,27
3102,4,26
3178,4,42
3227,4,13
3241,4,2
3242,3,30
3260,4,28
3267,4,48
3272,4,16
3315,4,36
3326,4,43
3341,4,41
3354,4,26
3381,4,49
3388,4,16
3426,4,10
3427,4,18
3480,4,31
3503,4,50
3514,4,16
3607,5,4
3631,5,1
3739,5,19
3875,5,46
3969,5,4
3997,5,5
4012,6,37
4018,6,23
4041,6,21
4054,6,29
4060,4,42
4113,6,8
4173,6,19
4266,6,4
4391,6,22
4440,6,33
4461,2,23
4769,6,36
4844,5,9
4971,6,18
36,6,46
57,6,39
127,6,7
129,7,38
154,7,25
164,4,20
165,6,47
343,7,26
352,7,47
390,7,30
415,7,47
612,7,19
632,7,17
656,7,13
740,7,7
754,7,41
760,7,41
817,-1,-1
858,0,1
986,0,1
1126,0,1
1243,0,1
1509,0,1
1730,7,1
2604,0,1
3274,0,1
3582,7,1
922,-1,-1
3589,0,50
1023,-1,-1
3626,0,26
1072,-1,-1
3633,0,40
1183,-1,-1
3676,0,48
3690,0,30
3698,0,17
3767,0,38
3771,0,40
1202,-1,-1
3908,0,50
1241,-1,-1
4049,0,50
4215,0,1
4263,0,11
4922,0,1
1316,7,1
1749,0,1
1295,-1,-1
1765,0,32
1806,0,1
1204,5,1
3333,6,1
1865,2,1
4090,7,1
